pair,"n. 一对，一双，一副
vt. 把…组成一对"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
dictionary,n. 字典；词典
grammar,n. 语法；语法书
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
make a mistake,"na. 犯错误
 出错；弄错；犯了一个错误"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
advice,n. 建议；忠告；劝告；通知
should,aux. 应该；就；可能；将要
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
notebook,n. 笔记本，笔记簿；手册
forget,"vi. 忘记
vt. 忘记；忽略"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
aloud,adv. 大声地；出声地
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
pronunciation,n. 发音；读法
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
excellent,adj. 卓越的；极好的；杰出的
